,artist_name,artist_id,playlist_song,country,artist_uri
13,Harry Styles,6KImCVD70vtIoJWnq6nGn3,As It Was,AU,spotify:artist:6KImCVD70vtIoJWnq6nGn3
14,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Creepin' (with The Weeknd & 21 Savage),AU,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
15,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,I Remember Everything (feat. Kacey Musgraves),AU,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
16,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",AU,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
17,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,AU,spotify:artist:00FQb4jTyendYWaN8pK0wa
18,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Ghost,AU,spotify:artist:1uNFoZAHBGtllmzznpCI3s
19,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Money Trees,AU,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
20,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Flowers,AU,spotify:artist:5YGY8feqx7naU7z4HrwZM6
21,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Under The Influence,AU,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
22,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Paint The Town Red,AU,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5
23,Future,1RyvyyTE3xzB2ZywiAwp0i,WAIT FOR U (feat. Drake & Tems),AU,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
24,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Baby Don't Hurt Me,AU,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
25,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,AU,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
26,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Desire (with Sam Smith),AU,spotify:artist:7CajNmpbOovFoOoasH2HaY
27,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,AU,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
28,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Houdini,AU,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
29,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,vampire,AU,spotify:artist:1McMsnEElThX1knmY4oliG
30,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Something Just Like This,AU,spotify:artist:69GGBxA162lTqCwzJG5jLp
31,P!nk,1KCSPY1glIKqW2TotWuXOR,TRUSTFALL,AU,spotify:artist:1KCSPY1glIKqW2TotWuXOR
32,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,All Girls Are The Same,AU,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
33,Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,AU,spotify:artist:6vWDO969PvNqNYHIOW5v0m
34,Central Cee,5H4yInM5zmHqpKIoMNAx4r,Doja,AU,spotify:artist:5H4yInM5zmHqpKIoMNAx4r
35,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Numb,AU,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
36,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Dreams - 2004 Remaster,AU,spotify:artist:08GQAI4eElDnROBrJRGE0X
37,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Leave The Door Open,AU,spotify:artist:0du5cEVh5yTK9QJze8zA0C
38,The Wiggles,2JY5qzEozvTdogkDTkkOMf,Rock-a-Bye Your Bear,AU,spotify:artist:2JY5qzEozvTdogkDTkkOMf
39,Sam Smith,2wY79sveU1sp5g7SokKOiI,Unholy (feat. Kim Petras),AU,spotify:artist:2wY79sveU1sp5g7SokKOiI
40,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Bones,AU,spotify:artist:53XhwfbYqKCa1cC15pYq2q
41,Elton John,3PhoLpVuITZKcymswpck5b,Cold Heart - PNAU Remix,AU,spotify:artist:3PhoLpVuITZKcymswpck5b
42,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie World (with Aqua) [From Barbie The Album],AU,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
43,Adele,4dpARuHxo51G3z768sgnrY,Easy On Me,AU,spotify:artist:4dpARuHxo51G3z768sgnrY
44,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,Revenge,AU,spotify:artist:15UsOTVnJzReFVN1VCnxy4
45,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,AU,spotify:artist:1HY2Jd0NmPuamShAr6KMms
46,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),AU,spotify:artist:5f7VJjfbwm532GiveGC0ZK
47,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,STAY (with Justin Bieber),AU,spotify:artist:2tIP7SsRs7vjIcLrU85W8J
48,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Pink + White,AU,spotify:artist:2h93pZq0e7k5yf4dywlkpM
49,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,I Wanna Be Yours,AU,spotify:artist:7Ln80lUS6He07XvHI8qqHH
0,Drake,3TVXtAsR1Inumwj472S9r4,Slime You Out (feat. SZA),ZA,spotify:artist:3TVXtAsR1Inumwj472S9r4
1,Kabza De Small,1bNjWBFWsAAzZSR59lRdpR,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)",ZA,spotify:artist:1bNjWBFWsAAzZSR59lRdpR
2,DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,"Imali iKhona (feat. Mellow & Sleazy, Madumane & Uncool MC)",ZA,spotify:artist:0mMqD2uqwvCjFvlzo6ayGi
3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"One Of The Girls (with JENNIE, Lily Rose Depp)",ZA,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),ZA,spotify:artist:06HL4z0CvFAxyc27GXpf02
5,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Sensational (feat. Davido & Lojay),ZA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
6,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,ZA,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
