song_id,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2vOAHp8PBBFYqvQUWSoITY,インフェルノ,0.533,0.918,4,-2.095,1,0.0616,0.00894,0.0,0.643,0.662,92.504,211600,4
1pCcNaCodPssCc8Aq68gPS,Kaiju no Hanauta,0.335,0.943,2,-3.176,1,0.067,0.00334,0.0,0.324,0.64,75.093,224805,4
1YXot2MLAG9sttepCtBRM7,踊り子,0.712,0.517,7,-10.157,1,0.0533,0.826,0.8,0.0949,0.686,157.038,229328,4
6WT1tWfxUQREmEwzc4TRMV,Fukakoryoku,0.691,0.826,2,-4.9,1,0.0423,0.0139,5.03e-06,0.0604,0.62,94.033,200242,4
1hAloWiinXLPQUJxrJReb1,アイドル,0.457,0.941,10,-2.692,0,0.0917,0.105,1.38e-06,0.437,0.876,165.783,211733,4
0YTM7bCx451c6LQbkddy4Q,勇者,0.655,0.907,5,-3.868,1,0.0488,0.0351,1.37e-05,0.15,0.506,103.968,194267,4
6MCjmGYlw6mQVWRFVgBRvB,夜に駆ける,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,258840,4
5P8ZvBQoCrujjNcLAxO3Su,クリスマスソング,0.404,0.705,4,-3.324,1,0.0315,0.128,0.0,0.123,0.42,154.02,340080,4
3RvdkNMcSy71m0aT6UF9Uf,水平線,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,288013,4
4FMz2RFrbDGzJO7K4D0vS3,HAPPY BIRTHDAY,0.482,0.602,11,-4.365,1,0.0303,0.0702,0.0,0.0677,0.535,145.988,258333,4
4zrKPIygugUDKGFEjVwpSB,Subtitle,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4
6wffxmLgeZTbvS1hYvLkht,Tattoo,0.481,0.901,0,-5.629,1,0.163,0.0114,0.0,0.314,0.817,194.084,288100,4
1JrxwbZ9u0VNwemdcJwZNi,SOULSOUP,0.507,0.939,11,-4.299,0,0.0882,0.00104,0.0,0.279,0.618,144.046,314469,4
5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
46HNZY1i7O6jwTA7Slo2PI,My Universe,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
4JK1kDUdH9RTBQrrSO1QfR,ベテルギウス,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,0.364,0.628,10,-6.142,1,0.0319,0.238,0.0,0.0931,0.612,93.792,228760,3
4kPlQKwtPrnqLgrmmKFSlA,ドライフラワー,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
3khEEPRyBeOUabbmOPJzAG,KICK BACK,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,193495,4
6x7SB38tuekpu4xpH9OIPY,地球儀 - Spinning Globe,0.642,0.289,10,-11.86,1,0.0472,0.763,0.0,0.0856,0.282,78.004,273438,4
04TshWXkhV1qkqHzf31Hn6,Lemon,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,255827,4
59eluCMn0XbOWqeWQ91FTM,君はロックを聴かない,0.524,0.687,7,-4.039,1,0.0267,0.00135,0.0,0.169,0.619,99.919,246307,4
2piySGAWgVwsRKm60SfOmF,ai no hana,0.469,0.507,10,-6.21,1,0.0303,0.287,0.0,0.0773,0.469,170.028,240044,3
5NqGfELjcdvRIUuhgZJ34W,Marigold,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627,4
1rDgAHDX95RmylxjgVW9tN,Show,0.616,0.975,10,-0.425,0,0.208,0.172,1.62e-06,0.143,0.742,132.054,189773,4
6A8NfypDHuwiLWbo4a1yca,New Genesis,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,226813,4
61KYsWS25JXUO4fGb1138X,Usseewa,0.526,0.976,11,-1.084,0,0.0799,0.00459,0.0,0.102,0.554,178.129,206893,4
308Ir17KlNdlrbVLHWhlLe,The Feels,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4
5IN9W6eUfk3014My9awagX,MOONLIGHT SUNRISE,0.746,0.78,1,-3.279,1,0.0563,0.401,4.08e-06,0.0895,0.607,125.089,180320,4
3zhbXKFjUDw40pTYyCgt1Y,What is Love,0.574,0.909,8,-1.573,1,0.0658,0.0987,0.0,0.264,0.569,169.966,208240,4
