song_id,song_name,artist_name,artist_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_code
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2008-06-19,76,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,4.0,aa
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2017-04-07,88,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,4.0,bb
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2022-12-02,89,0.526,0.606,5.0,-5.3,0.0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4.0,cc
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2019-10-04,88,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613.0,4.0,aa
3XqM8hLCEYlbnFjoWwqtFv,Angel Numbers / Ten Toes,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2023-11-10,87,0.406,0.5,4.0,-8.452,0.0,0.0501,0.192,0.0,0.175,0.0905,157.984,306847.0,4.0,bb
3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,Adele,4dpARuHxo51G3z768sgnrY,2011-01-24,86,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974.0,4.0,cc
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,4dpARuHxo51G3z768sgnrY,2012-10-04,89,,,,,,,,,,,,,,aa
46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,4dpARuHxo51G3z768sgnrY,2021-11-19,84,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0,4.0,bb
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-05-17,91,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0,cc
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-11-22,87,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0,aa
3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2023-05-19,84,0.676,0.461,3.0,-3.59,1.0,0.0304,0.555,0.0,0.0951,0.466,107.95,210880.0,4.0,bb
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,92,0.715,0.62,1.0,-6.005,0.0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520.0,4.0,cc
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,90,0.684,0.671,7.0,-4.392,0.0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4.0,aa
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,89,0.571,0.549,1.0,-7.38,0.0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4.0,bb
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2023-08-18,94,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600.0,4.0,cc
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2009-01-01,85,0.652,0.698,10.0,-4.667,0.0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067.0,4.0,aa
1daDRI9ahBonbWD8YcxOIB,Angels Like You,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2020-11-27,88,0.672,0.642,5.0,-4.035,1.0,0.0313,0.0981,0.0,0.1,0.494,121.981,196453.0,4.0,bb
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2018-02-09,87,0.698,0.633,8.0,-4.946,1.0,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187.0,4.0,cc
