,artist,song_name,song_id,release_date,release_date_precision,popularity
99,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,2018-12-10,day,88
100,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,day,87
101,Juice WRLD,Lace It (with Eminem & benny blanco),4qmG24ebshLXtKu9HIShBP,2023-12-16,day,85
102,Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,1977-02-04,day,88
103,Fleetwood Mac,The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU,1977-02-04,day,85
104,Fleetwood Mac,Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,1987-04-13,day,84
105,Doja Cat,Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,2023-09-20,day,88
106,Doja Cat,Agora Hills,5PyDJG7SQRgWXefgexqIge,2023-09-20,day,86
107,Doja Cat,n.h.i.e.,6x9pCndnXEoea0CMcfjs9W,2024-01-12,day,86
108,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,2014-12-09,day,91
109,J. Cole,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,2023-10-06,day,90
110,J. Cole,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd,2014-12-09,day,86
111,Dua Lipa,Houdini,5wtSei6pJpDEB1iKqPHhfU,2023-11-10,day,74
112,Dua Lipa,Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,2023-05-25,day,93
113,Dua Lipa,Cold Heart - PNAU Remix,6JIC3hbC28JZKZ8AlAqX8h,2021-10-22,day,84
114,The 1975,About You,1fDFHXcykq4iw8Gg7s5hG9,2022-10-14,day,84
115,The 1975,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,2016-02-26,day,75
116,The 1975,Robbers,73jVPicY2G9YHmzgjk69ae,2013-01-01,day,74
117,Burna Boy,City Boys,4RoKNqyZ9622tcAeNPNv5k,2023-08-24,day,81
118,Burna Boy,just like me,5KI7I4mEtulXcv5VQJaV35,2024-01-12,day,80
119,Burna Boy,Last Last,5YbPxJwPfrj7uswNwoF1pJ,2022-07-07,day,80
120,The Beatles,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,1969-09-26,day,86
121,The Beatles,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,1969-09-26,day,81
122,The Beatles,Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI,1965-08-06,day,80
123,Justin Bieber,STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo,2021-07-27,day,85
124,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,2021-03-19,day,89
125,Justin Bieber,Mistletoe,7xapw9Oy21WpfEcib2ErSA,2011-01-01,day,89
126,RAYE,Prada,59NraMJsLaMCVtwXTSia8i,2023-08-11,day,94
127,RAYE,Escapism.,5mHdCZtVyb4DcJw8799hZp,2023-02-03,day,86
